Dresden; 01067; (13.720109472727275, 51.05886789818182)
Dresden; 01069; (13.725200749999999, 51.03417125)
Dresden; 01097; (13.744483377064222, 51.071015898165136)
Dresden; 01099; (13.821068883959047, 51.08771944095561)
Dresden; 01108; (13.785387020779224, 51.149297500649325)
Dresden; 01109; (13.759107809803924, 51.12798976078432)
Dresden; 01127; (13.7324561, 51.0897662)
Dresden; 01129; (13.722473958695657, 51.093766347101436)
Dresden; 01139; (13.695874569827584, 51.08613217672412)
Dresden; 01156; (13.615698918834077, 51.06437308295966)
Dresden; 01157; (13.671199610769227, 51.06097773923076)
Dresden; 01159; (13.69501997282609, 51.043823860869544)
Dresden; 01169; (13.66530215232558, 51.042045966279055)
Dresden; 01187; (13.6800117, 51.028453999999996)
Dresden; 01189; (13.696715648958332, 51.013278913541676)
Dresden; 01217; (13.741789552554742, 51.01755413576642)
Dresden; 01219; (13.76573927446808, 51.021566219858165)
Dresden; 01237; (13.800135444444445, 51.01661127979797)
Dresden; 01239; (13.786657680612244, 51.00217746428568)
Dresden; 01257; (13.799330699999999, 50.99988675)
Dresden; 01259; (13.837867701874998, 50.99607965125)
Dresden; 01277; (13.795261941752575, 51.03607047783504)
Dresden; 01279; (13.823328666265061, 51.028593930120486)
Dresden; 01307; (13.774235089705885, 51.05105578235294)
Dresden; 01309; (13.7875334627451, 51.045181724836596)
Dresden; 01324; (13.83712900344828, 51.061502681609184)
Dresden; 01326; (13.861376083636365, 51.02612224863637)
Dresden; 01328; (13.904882356730774, 51.040567309294865)
Radebeul; 01445; (13.651210792631572, 51.115505504210574)
Radeberg, Wachau; 01454; (13.914111925245084, 51.133365558578426)
Ottendorf-Okrilla; 01458; (13.827694338750003, 51.17660526874999)
Dresden; 01465; (13.8279761, 51.129818900000004)
Moritzburg; 01468; (13.673775140773815, 51.156433661309535)
Radeburg; 01471; (13.72619955980707, 51.180236651768475)
Arnsdorf b. Dresden; 01477; (13.985676709836067, 51.093037161748626)
Großenhain; 01558; (13.552564585276071, 51.285548977300635)
Großenhain, Ebersbach u.a.; 01561; (13.643499879210923, 51.280567091957494)
Riesa; 01587; (13.27977687671233, 51.30153927671232)
Riesa; 01589; (13.31762312526316, 51.29153769894738)
Riesa; 01591; (13.246876050537628, 51.32011510860216)
Riesa, Stauchitz, Hirschstein; 01594; (13.262754702826848, 51.25337269363957)
Gröditz, Wülknitz, Röderaue; 01609; (13.420458519148937, 51.409195630212785)
Nünchritz, Glaubitz; 01612; (13.410436456849316, 51.28357075684932)
Strehla; 01616; (13.225461881286547, 51.363243504093575)
Zeithain; 01619; (13.312772671195653, 51.37308129673913)
Lommatzsch; 01623; (13.297438958677699, 51.19989392933882)
Coswig; 01640; (13.585333330978258, 51.14214750217391)
Meißen; 01662; (13.468057250000001, 51.18179765)
Käbschütztal, Klipphausen, Diera-Zehren; 01665; (13.438960676156078, 51.13884082803469)
Nossen; 01683; (13.300199155268826, 51.113909970752694)
Weinböhla; 01689; (13.561965961497329, 51.17769368181816)
Freital; 01705; (13.639658314179096, 50.99795583208957)
Wilsdruff; 01723; (13.506045353790611, 51.02565739350184)
Bannewitz; 01728; (13.717732307407402, 50.988067081481496)
Kreischa; 01731; (13.769042799526064, 50.952297242654026)
Rabenau; 01734; (13.666830859130444, 50.9521656404348)
Tharandt u.a.; 01737; (13.519221012737125, 50.96559513252039)
Dorfhain; 01738; (13.579447, 50.94727115)
Dippoldiswalde; 01744; (13.652875750216444, 50.859109205194834)
Hartmannsdorf-Reichenau; 01762; (13.571667322380957, 50.80522760761904)
Glashütte; 01768; (13.767486468181824, 50.86216865320859)
Altenberg; 01773; (13.719329470794392, 50.76641893504676)
Klingenberg; 01774; (13.54889072994187, 50.90073140697678)
Hermsdorf/Erzgeb.; 01776; (13.64565167783251, 50.75795857339905)
Altenberg; 01778; (13.839572640404045, 50.75939559326597)
Pirna, Struppen, Dohma; 01796; (13.95962456218323, 50.953848044444506)
Heidenau; 01809; (13.831369302890176, 50.94500161098263)
Bad Schandau; 01814; (14.169046886159848, 50.91633821130604)
Bad Gottleuba-Berggießhübel; 01816; (13.949876309859137, 50.84347862840375)
Bahretal; 01819; (13.897555053963416, 50.87883075274389)
Königstein/Sächs.Schw.; 01824; (14.081692807265778, 50.908945570363265)
Liebstadt; 01825; (13.84040657678572, 50.85935514970238)
Wehlen; 01829; (14.019465935119047, 50.961628161904756)
Stolpen, Dürrröhrsdorf-Dittersbach; 01833; (14.056762500234736, 51.03343318497659)
Neustadt i. Sa.; 01844; (14.229990893770482, 51.03832325672129)
Lohmen; 01847; (14.025208104705884, 50.976031555882344)
Hohnstein; 01848; (14.139105237906987, 50.979909854651126)
Sebnitz; 01855; (14.219715350000001, 50.9327722)
Bischofswerda u.a.; 01877; (14.198647735121947, 51.12069163682931)
Pulsnitz; 01896; (14.002342789642857, 51.18430719892855)
Großröhrsdorf, Bretnig-Hauswalde; 01900; (14.028452566920162, 51.14534065893539)
Neukirch/Lausitz; 01904; (14.32559443558282, 51.07750519877302)
Burkau; 01906; (14.214117576635523, 51.19180014392525)
Großharthau, Frankenthal; 01909; (14.077234895564517, 51.10796914637097)
Kamenz; 01917; (14.097771148888894, 51.27851930722225)
Elstra, Oßling u.a.; 01920; (14.136245375792983, 51.255924845409)
Königsbrück u.a.; 01936; (13.887609972783498, 51.27979258762887)
Ruhland; 01945; (13.90316023896104, 51.41081418733764)
Senftenberg; 01968; (14.036279868461541, 51.51916348923075)
Lauchhammer; 01979; (13.73459448025478, 51.51264912356687)
Großräschen; 01983; (13.975653254022985, 51.59653884137929)
Schwarzheide N.L.; 01987; (13.864214557142857, 51.478736621428574)
Ortrand; 01990; (13.735723417924532, 51.38092048679242)
Schipkau; 01993; (13.881842683333337, 51.512354175)
Schipkau; 01994; (13.920837215254236, 51.55531830847457)
Senftenberg; 01996; (14.02402980322581, 51.45497045000002)
Schipkau; 01998; (13.895058061363642, 51.541166313636374)
Bautzen; 02625; (14.407040126902176, 51.18873687255433)
Weißenberg, Hochkirch u.a.; 02627; (14.45599845, 51.26426735)
Göda; 02633; (14.311294238746438, 51.176831009971536)
Wilthen; 02681; (14.422165895798312, 51.090479140756315)
Sohland a. d. Spree; 02689; (14.432190459550554, 51.05003780842699)
Doberschau-Gaußig, Großpostwitz, Obergurig; 02692; (14.424731483870971, 51.13746555232978)
Großdubrau, Malschwitz; 02694; (14.519237015730328, 51.2528046182022)
Königswartha; 02699; (14.333719519465644, 51.27752761335877)
Löbau, Kottmar u.a.; 02708; (14.659999907322643, 51.108859472997736)
Ebersbach-Neugersdorf; 02727; (14.611101553125, 50.979883309374976)
Ebersbach-Neugersdorf; 02730; (14.59609788709678, 51.004581871774164)
Cunewalde; 02733; (14.521790979230772, 51.10076084000001)
Beiersdorf, Oppach; 02736; (14.51504414234234, 51.06348826216216)
Kottmar; 02739; (14.64880576601942, 50.99254417475725)
Neusalza-Spremberg; 02742; (14.540671037037034, 51.030701149074076)
Herrnhut; 02747; (14.75733304581006, 51.00883266312849)
Bernstadt a. d. Eigen; 02748; (14.82883596460674, 51.05218633483142)
Zittau u.a.; 02763; (14.773036253541074, 50.88622861416432)
Großschönau; 02779; (14.676632581600005, 50.89300794080002)
Seifhennersdorf; 02782; (14.598845199999998, 50.93233252181819)
Olbersdorf; 02785; (14.762687612230215, 50.86966327482012)
Zittau; 02788; (14.859653917730492, 50.95387114255321)
Oderwitz; 02791; (14.720880783593746, 50.9633372)
Leutersdorf, Spitzkunnersdorf; 02794; (14.654726918518513, 50.95210768024692)
Jonsdorf; 02796; (14.690678956818184, 50.85600298712122)
Oybin; 02797; (14.753080089265541, 50.843622799435)
Großschönau; 02799; (14.65190129316239, 50.86553393675214)
Görlitz; 02826; (14.975066232978726, 51.15068510106385)
Görlitz; 02827; (14.956391299619764, 51.10286430684411)
Görlitz; 02828; (14.98566690792683, 51.182166228048786)
Markersdorf, Neißeaue u.a.; 02829; (14.9282616723447, 51.193417670941884)
Reichenbach, Vierkirchen; 02894; (14.762796060763883, 51.16524864201388)
Ostritz, Schönau-Berzdorf; 02899; (14.918859355311353, 51.03806036373624)
Niesky, Hohendubrau u.a.; 02906; (14.739826141943125, 51.27887218009478)
Hähnichen, Horka, Kodersdorf; 02923; (14.884501110982647, 51.29848957427741)
Rothenburg/O.L.; 02929; (14.950368781785713, 51.358899798571436)
Weißwasser, Boxberg; 02943; (14.5836974, 51.4510221)
Bad Muskau, Groß Düben, Gablenz; 02953; (14.670669534259265, 51.55345469027777)
Rietschen; 02956; (14.800317066470594, 51.40664065529415)
Krauschwitz, Weißkeißel; 02957; (14.679404133333334, 51.50734583333334)
Schleife; 02959; (14.52724414852942, 51.53266970784315)
Hoyerswerda; 02977; (14.222635022027966, 51.42657346258743)
Spreetal, Elsterheide; 02979; (14.306768964052276, 51.48591296797387)
Lauta; 02991; (14.090911489115653, 51.44074816734695)
Bernsdorf; 02994; (14.072757803571424, 51.37879330178572)
Wittichenau; 02997; (14.245178214124296, 51.38399554745765)
Lohsa; 02999; (14.384494788888874, 51.38548497592595)
Cottbus; 03042; (14.368621027522938, 51.7620403669725)
Cottbus; 03044; (14.328256908771937, 51.77630453070173)
Cottbus; 03046; (14.318576136065571, 51.75914243442623)
Cottbus; 03048; (14.310260834177218, 51.73630097974684)
Cottbus; 03050; (14.337378060493828, 51.736064823456815)
Cottbus; 03051; (14.366503073267335, 51.71136694455446)
Cottbus; 03052; (14.450533193877556, 51.77752883061224)
Cottbus; 03053; (14.386591784210525, 51.808991336842105)
Cottbus; 03054; (14.348831062831866, 51.83134598761061)
Cottbus; 03055; (14.309838957425741, 51.82330264851485)
Neuhausen/Spree; 03058; (14.435554920689654, 51.703357037068976)
Burg/Spreewald u.a.; 03096; (14.17240349494164, 51.84268947976651)
Kolkwitz; 03099; (14.201737433333344, 51.754012182329326)
Neu-Seeland, Neupetershain; 03103; (14.145498102542378, 51.59219901525423)
Drebkau; 03116; (14.203510744919779, 51.665996291443854)
Welzow; 03119; (14.212467694000011, 51.550763843)
Spremberg, Tschernitz u.a.; 03130; (14.503383686175118, 51.58167469654385)
Forst/ Lausitz; 03149; (14.615175412244891, 51.72565404081635)
Döbern; 03159; (14.658721181818178, 51.62053662102275)
Guben, Schenkendöbern; 03172; (14.581070846347604, 51.956610608816085)
Peitz; 03185; (14.423681259866221, 51.85679558896324)
Jänschwalde; 03197; (14.53645009415584, 51.88159848441558)
Calau, Bronkow; 03205; (13.90880617333333, 51.73619085933335)
Lübbenau/ Spreewald; 03222; (13.967324527364877, 51.86525291418921)
Vetschau; 03226; (14.072219681720428, 51.78187236845876)
Altdöbern, Luckaitztal; 03229; (14.028790705468756, 51.66865973750001)
Finsterwalde; 03238; (13.722225329019606, 51.57889376313727)
Crinitz; 03246; (13.772780470329673, 51.722260265934054)
Sonnewalde; 03249; (13.628923795370374, 51.70802408611112)
Doberlug-Kirchhain; 03253; (13.475632145, 51.611669135)
Leipzig; 04103; (12.389064359770117, 51.33477516551723)
Leipzig; 04105; (12.363255220987654, 51.3516544925926)
Leipzig; 04107; (12.371297833783785, 51.3288653918919)
Leipzig; 04109; (12.367627706756759, 51.33933478108109)
Leipzig; 04129; (12.381844482758622, 51.37307552068964)
Leipzig; 04155; (12.359148384615384, 51.36114732692309)
Leipzig; 04157; (12.366560595505618, 51.37554246292136)
Leipzig; 04158; (12.33915428376068, 51.40101308717948)
Leipzig; 04159; (12.30580438817204, 51.37502590645163)
Leipzig; 04177; (12.329477302702701, 51.338993239189186)
Leipzig; 04178; (12.274075979032261, 51.35798937580645)
Leipzig; 04179; (12.314886523157893, 51.34627610421054)
Leipzig; 04205; (12.264741318000004, 51.32616815399999)
Leipzig; 04207; (12.28533886785714, 51.31110358809523)
Leipzig; 04209; (12.297233357894738, 51.3182599631579)
Leipzig; 04229; (12.336906531884058, 51.32543519130436)
Leipzig; 04249; (12.316381171951221, 51.2752622833333)
Leipzig; 04275; (12.371797373563213, 51.31992298735631)
Leipzig; 04277; (12.372415723584915, 51.305701787735856)
Leipzig; 04279; (12.397593025806454, 51.28843987903226)
Leipzig; 04288; (12.470976869473683, 51.29401168000004)
Leipzig; 04289; (12.425397376785721, 51.302703453571425)
Leipzig; 04299; (12.426758891525424, 51.31613890847458)
Leipzig; 04315; (12.406787699999999, 51.342101363157894)
Leipzig; 04316; (12.46425816956522, 51.32579557391305)
Leipzig; 04317; (12.4013791828125, 51.33521500937502)
Leipzig; 04318; (12.4233922880597, 51.34081435970147)
Leipzig; 04319; (12.511792500909092, 51.33156770727271)
Leipzig; 04328; (12.44929803529412, 51.34711393529412)
Leipzig; 04329; (12.464401910256408, 51.35951256923077)
Leipzig; 04347; (12.428047488235297, 51.3630127019608)
Leipzig; 04349; (12.452300444155842, 51.39091205064934)
Leipzig; 04356; (12.438126286666664, 51.41649715833334)
Leipzig; 04357; (12.409422813043479, 51.37873423695652)
Markkleeberg; 04416; (12.364390453003526, 51.27038282650175)
Markranstädt; 04420; (12.21582264491018, 51.29965266646709)
Taucha; 04425; (12.504129648366002, 51.39531970130721)
Schkeuditz; 04435; (12.183578574999999, 51.3819442)
Zwenkau; 04442; (12.30194550546076, 51.216942412969296)
Borsdorf; 04451; (12.540149727173914, 51.352380267391304)
Großpösna; 04463; (12.473504710326079, 51.24980029130435)
Delitzsch, Krostitz u.a.; 04509; (12.367971792330827, 51.51407660105268)
Rackwitz; 04519; (12.37494005424836, 51.457323609803915)
Pegau, Elstertrebnitz; 04523; (12.251294370054943, 51.18729106758242)
Groitzsch; 04539; (12.288733874295772, 51.12896511338029)
Borna; 04552; (12.494918903888884, 51.128291442777744)
Böhlen; 04564; (12.398125407488985, 51.2048265277533)
Regis-Breitingen; 04565; (12.401826291095896, 51.09422130136987)
Kitzscher; 04567; (12.548405060937501, 51.16757540078129)
Rötha; 04571; (12.45702864189602, 51.205525669724764)
Neukieritzsch, Deutzen; 04575; (12.420105573191485, 51.14824654212767)
Altenburg; 04600; (12.44003477263844, 50.977107265798054)
Nobitz, Göhren, Windischleuba; 04603; (12.384694199999998, 50.9725951)
Meuselwitz; 04610; (12.337252389552244, 51.0512822227612)
Lucka; 04613; (12.325033844615389, 51.08870677153849)
Rositz, Starkenberg, Treben; 04617; (12.344230249999999, 51.03930604999999)
Langenleuba-Niederhain; 04618; (12.5739056, 50.9540644)
Schmölln, Altkirchen, Nöbdenitz u.a.; 04626; (12.314314731900456, 50.89607261945701)
Gößnitz; 04639; (12.421802386666663, 50.873978104761875)
Geithain; 04643; (12.694144057291659, 51.046560085763865)
Bad Lausick; 04651; (12.670250696989966, 51.14526543478261)
Frohburg; 04654; (12.598286960730594, 51.04490636095895)
Grimma; 04668; (12.77622469040852, 51.22437358259326)
Colditz; 04680; (12.81630951536585, 51.1285464212195)
Naunhof; 04683; (12.594857761344537, 51.27614162563027)
Trebsen/Mulde; 04687; (12.730495404232814, 51.28859113174602)
Leisnig; 04703; (12.934307006478884, 51.162516776338066)
Döbeln, Großweitzschen u.a.; 04720; (13.130968710839163, 51.14234758006996)
Waldheim; 04736; (13.037472747619049, 51.08106174421768)
Roßwein; 04741; (13.174206125000001, 51.07731792401962)
Hartha; 04746; (12.962474442120351, 51.119644387106014)
Ostrau; 04749; (13.13352029923077, 51.20049122807693)
Oschatz u.a.; 04758; (13.112897852212395, 51.35113386792037)
